dataset,experiment,x_label,x_value,n_e,n_c,capacity,profile_size,initial_assignment,iteration_number,seed,method,total_rank_improvement,execution_time,peak_memory_mb,cycle_count
combined_data_jd200_1.csv,varying_ev,Total EV,20,20,10,2,2,random,1,20124,W-TTC,27,0.006126419,0.149043083,101
combined_data_jd200_1.csv,varying_ev,Total EV,20,20,10,2,2,random,1,20124,ReACT-TTC,16,0.002275837,0.071670532,10
combined_data_jd200_1.csv,varying_ev,Total EV,20,20,10,2,2,random,1,20124,TTC,16,0.00214559,0.071411133,10
combined_data_jd200_1.csv,varying_ev,Total EV,20,20,10,2,2,random,2,20125,W-TTC,27,0.003971985,0.106811523,102
combined_data_jd200_1.csv,varying_ev,Total EV,20,20,10,2,2,random,2,20125,ReACT-TTC,18,0.002665048,0.072532654,15
combined_data_jd200_1.csv,varying_ev,Total EV,20,20,10,2,2,random,2,20125,TTC,18,0.002464176,0.072433472,15
combined_data_jd200_1.csv,varying_ev,Total EV,20,20,10,2,2,random,3,20126,W-TTC,32,0.003573163,0.116163254,100
combined_data_jd200_1.csv,varying_ev,Total EV,20,20,10,2,2,random,3,20126,ReACT-TTC,19,0.001849362,0.067710876,6
combined_data_jd200_1.csv,varying_ev,Total EV,20,20,10,2,2,random,3,20126,TTC,19,0.001591418,0.068527222,6
combined_data_jd200_1.csv,varying_ev,Total EV,20,20,10,2,2,random,4,20127,W-TTC,27,0.004512849,0.093822479,101
combined_data_jd200_1.csv,varying_ev,Total EV,20,20,10,2,2,random,4,20127,ReACT-TTC,10,0.002116205,0.065406799,3
combined_data_jd200_1.csv,varying_ev,Total EV,20,20,10,2,2,random,4,20127,TTC,10,0.001791284,0.065368652,3
combined_data_jd200_1.csv,varying_ev,Total EV,20,20,10,2,2,random,5,20128,W-TTC,33,0.003728847,0.110584259,100
combined_data_jd200_1.csv,varying_ev,Total EV,20,20,10,2,2,random,5,20128,ReACT-TTC,15,0.002470427,0.068603516,7
combined_data_jd200_1.csv,varying_ev,Total EV,20,20,10,2,2,random,5,20128,TTC,15,0.002280112,0.068870544,7
combined_data_jd200_1.csv,varying_ev,Total EV,20,20,10,2,2,random,6,20129,W-TTC,30,0.004005129,0.116760254,101
combined_data_jd200_1.csv,varying_ev,Total EV,20,20,10,2,2,random,6,20129,ReACT-TTC,12,0.001791207,0.065620422,4
combined_data_jd200_1.csv,varying_ev,Total EV,20,20,10,2,2,random,6,20129,TTC,12,0.001686408,0.065582275,4
combined_data_jd200_1.csv,varying_ev,Total EV,20,20,10,2,2,random,7,20130,W-TTC,34,0.00333865,0.109604836,100
combined_data_jd200_1.csv,varying_ev,Total EV,20,20,10,2,2,random,7,20130,ReACT-TTC,18,0.001947358,0.062667847,4
combined_data_jd200_1.csv,varying_ev,Total EV,20,20,10,2,2,random,7,20130,TTC,18,0.001832993,0.0626297,4
combined_data_jd200_1.csv,varying_ev,Total EV,20,20,10,2,2,random,8,20131,W-TTC,27,0.003216771,0.053199768,42
combined_data_jd200_1.csv,varying_ev,Total EV,20,20,10,2,2,random,8,20131,ReACT-TTC,21,0.001491123,0.061531067,2
combined_data_jd200_1.csv,varying_ev,Total EV,20,20,10,2,2,random,8,20131,TTC,21,0.001386285,0.06149292,2
combined_data_jd200_1.csv,varying_ev,Total EV,20,20,10,2,2,random,9,20132,W-TTC,40,0.003829296,0.110445976,102
