n_e,n_c,capacity,capacity_type,max_rank_size,iteration_number,weak_ttc_total_rank_improvement,weak_ttc_execution_time,weak_ttc_peak_memory_mb,weak_ttc_cycle_count,react_ttc_total_rank_improvement,react_ttc_execution_time,react_ttc_peak_memory_mb,react_ttc_cycle_count,ttc_total_rank_improvement,ttc_execution_time,ttc_peak_memory_mb,ttc_cycle_count
10,7,2,strict,2,1,27,0.004482191000079183,0.10324764251708984,20,25,0.0015373920000456565,0.05104827880859375,7,14,0.0013737859999309876,0.042022705078125,2
10,7,2,strict,2,2,21,0.002743128999554756,0.04825592041015625,27,18,0.0019122890003018256,0.0469512939453125,9,15,0.0014632510001320043,0.0391845703125,5
10,7,2,strict,2,3,19,0.0014768259998163558,0.03554534912109375,8,16,0.001783010000053764,0.04367828369140625,8,6,0.0011999539997304964,0.04184722900390625,3
10,7,2,strict,2,4,19,0.0018530390002524655,0.04241180419921875,12,17,0.001617439999790804,0.0446929931640625,7,8,0.0009476119998907961,0.03894805908203125,2
10,7,2,strict,2,5,16,0.0012522739998530596,0.03713226318359375,7,16,0.0013704470002267044,0.0420379638671875,7,14,0.0012225300001773576,0.03557586669921875,4
10,7,2,strict,2,6,13,0.0013723639999625448,0.03816986083984375,15,9,0.0012785109997821564,0.03847503662109375,6,8,0.0005936029997428705,0.03302001953125,1
10,7,2,strict,2,7,20,0.0015259550000337185,0.0429534912109375,15,22,0.001370239000152651,0.05210113525390625,10,17,0.0009739730003275326,0.04160308837890625,3
10,7,2,strict,2,8,14,0.002883197000301152,0.04461669921875,16,7,0.0016295800000989402,0.0416717529296875,7,5,0.0013105759999234579,0.036712646484375,3
10,7,2,strict,2,9,17,0.0017182189999402908,0.036651611328125,8,15,0.0017885429997477331,0.0408782958984375,8,10,0.0008660180001243134,0.04196929931640625,3
10,7,2,strict,2,10,15,0.001279706999866903,0.0355987548828125,7,13,0.0011861359998874832,0.04407501220703125,6,13,0.0010162020003008365,0.03509521484375,3
20,14,2,strict,2,1,81,0.0056287070001417305,0.0836944580078125,56,71,0.0031724020000183373,0.10912322998046875,21,66,0.0020524439996734145,0.0963592529296875,6
20,14,2,strict,2,2,83,0.0056348289999732515,0.12418556213378906,104,74,0.0033616040000197245,0.1065826416015625,17,46,0.0029591630000140867,0.087005615234375,7
20,14,2,strict,2,3,94,0.005608928000128799,0.14142894744873047,101,87,0.008981711999695108,0.12079620361328125,37,79,0.0032089609999275126,0.102874755859375,19
20,14,2,strict,2,4,67,0.004701416999978392,0.1274433135986328,104,63,0.0026793750002980232,0.101959228515625,10,49,0.0020764440000675677,0.08972930908203125,5
20,14,2,strict,2,5,79,0.006417433000024175,0.13950252532958984,105,79,0.003956016000302043,0.11229705810546875,14,62,0.0029573269998763863,0.09876251220703125,8
20,14,2,strict,2,6,83,0.0028459289997044834,0.06214141845703125,25,79,0.0030044449999877543,0.10455322265625,16,63,0.002689031000045361,0.09400177001953125,7
20,14,2,strict,2,7,96,0.005125511000187544,0.132171630859375,104,87,0.0037091819999659492,0.10639190673828125,19,63,0.0035777160001089214,0.09181976318359375,8
20,14,2,strict,2,8,66,0.004728699999759556,0.0725860595703125,54,65,0.0031017710002743115,0.108428955078125,16,36,0.0022137710002425592,0.08864593505859375,4
20,14,2,strict,2,9,80,0.003742074000001594,0.06711578369140625,17,67,0.0037921130001450365,0.10703277587890625,15,55,0.0027437189996817324,0.08899688720703125,4
20,14,2,strict,2,10,91,0.006209795999893686,0.17551517486572266,103,86,0.005095422000067629,0.13271331787109375,38,79,0.003757952000341902,0.10761260986328125,12
30,21,2,strict,2,1,171,0.0075146220001443,0.099609375,53,164,0.006270223000228725,0.18093109130859375,22,124,0.004760437999721034,0.16529083251953125,5
30,21,2,strict,2,2,208,0.009858842000085133,0.16409873962402344,116,197,0.005436035000002448,0.1893768310546875,33,178,0.0046416909999607014,0.1739654541015625,10
30,21,2,strict,2,3,187,0.008905262000098446,0.18900108337402344,105,168,0.006140729999970063,0.1872100830078125,24,128,0.005645415999879333,0.17275238037109375,8
30,21,2,strict,2,4,174,0.009404410000115604,0.14514827728271484,112,172,0.005714075000014418,0.1919097900390625,28,153,0.004315080000196758,0.17867279052734375,12
30,21,2,strict,2,5,172,0.007668749999993452,0.0976104736328125,42,153,0.005547654000110924,0.18839263916015625,21,119,0.004694674999882409,0.17028045654296875,7
30,21,2,strict,2,6,179,0.0062426829999822075,0.09131622314453125,26,167,0.006481184999756806,0.18653106689453125,22,118,0.005430598999737413,0.169708251953125,7
30,21,2,strict,2,7,209,0.007192557000053057,0.0971221923828125,33,201,0.007112215999768523,0.18828582763671875,23,156,0.005480953000187583,0.169189453125,9
30,21,2,strict,2,8,190,0.009104265000132727,0.19040489196777344,109,170,0.00734175099978529,0.19260406494140625,24,137,0.004882737000116322,0.1750640869140625,11
30,21,2,strict,2,9,208,0.008747942999889347,0.109893798828125,63,189,0.006664564999937284,0.19223785400390625,29,153,0.005971561000023939,0.1686553955078125,11
30,21,2,strict,2,10,132,0.009041880000040692,0.16693878173828125,112,118,0.006296542999734811,0.19449615478515625,29,78,0.004804402999980084,0.17266845703125,4
40,28,2,strict,2,1,353,0.013310727999851224,0.24129867553710938,106,326,0.008159484999850974,0.29163360595703125,36,279,0.008216753999931825,0.26093292236328125,16
40,28,2,strict,2,2,254,0.011960036999880685,0.23262882232666016,109,244,0.008745442999952502,0.3058013916015625,61,230,0.006818100000145932,0.28192901611328125,36
40,28,2,strict,2,3,368,0.012635001000035118,0.21659374237060547,111,351,0.008669417999954021,0.30277252197265625,41,303,0.007824032999906194,0.2698516845703125,16
40,28,2,strict,2,4,255,0.015423361000102886,0.18532466888427734,122,240,0.009581166000316443,0.30565643310546875,37,211,0.008581636000144499,0.2753448486328125,42
40,28,2,strict,2,5,347,0.011291130999779853,0.2631654739379883,112,330,0.01140348199987784,0.29766845703125,39,256,0.009385295999891241,0.2661590576171875,12
40,28,2,strict,2,6,389,0.013131391999650077,0.2359781265258789,107,379,0.012096990999907575,0.4133796691894531,105,329,0.010262807999879442,0.29869842529296875,43
40,28,2,strict,2,7,342,0.010329228000045987,0.17563629150390625,116,325,0.009493193999787763,0.29795074462890625,37,256,0.009479978999934247,0.2691192626953125,24
40,28,2,strict,2,8,360,0.011612272999627749,0.2256031036376953,115,335,0.014090388000113307,0.30907440185546875,77,273,0.00850504300024113,0.2833404541015625,19
40,28,2,strict,2,9,269,0.012952757999755704,0.17155170440673828,115,251,0.009410440000010567,0.28922271728515625,37,197,0.008207917000163434,0.259613037109375,14
40,28,2,strict,2,10,405,0.01283680500000628,0.21768760681152344,108,380,0.010188944000219635,0.29993438720703125,38,332,0.006712661000165099,0.27417755126953125,16
50,35,2,strict,2,1,524,0.017316794999715057,0.1560516357421875,52,487,0.016989105999982712,0.42667388916015625,45,438,0.01196801600008257,0.39958953857421875,16
50,35,2,strict,2,2,542,0.018273997000051168,0.23945999145507812,119,519,0.012362338999992062,0.43682098388671875,47,415,0.01176162599995223,0.3961639404296875,19
50,35,2,strict,2,3,580,0.017613179000363743,0.24976539611816406,122,566,0.015316717000132485,0.4395904541015625,49,488,0.010312740000244958,0.41332244873046875,19
50,35,2,strict,2,4,482,0.016576757000166253,0.20036697387695312,113,452,0.011793440000019473,0.43286895751953125,41,374,0.010942291999981535,0.409515380859375,15
50,35,2,strict,2,5,649,0.013754271999914636,0.2994718551635742,107,627,0.019317002999741817,0.47794151306152344,102,551,0.012181515000065701,0.4279327392578125,29
50,35,2,strict,2,6,562,0.019197404999886203,0.2550773620605469,120,565,0.013745036000273103,0.5493679046630859,123,508,0.011759693999920273,0.43907928466796875,68
50,35,2,strict,2,7,503,0.01667312600011428,0.2453289031982422,121,487,0.011514376999912201,0.4432220458984375,47,417,0.010412359999918408,0.41643524169921875,21
50,35,2,strict,2,8,552,0.020239161000063177,0.21899700164794922,117,537,0.01243820300032894,0.4427490234375,48,484,0.010014010999839229,0.413604736328125,20
50,35,2,strict,2,9,435,0.015032014999633247,0.23517704010009766,119,418,0.011509178999858705,0.43331146240234375,40,327,0.00965018599981704,0.39884185791015625,13
50,35,2,strict,2,10,497,0.016699304000212578,0.2660188674926758,121,482,0.01658031300030416,0.435821533203125,58,427,0.010050963999674423,0.4100799560546875,20
60,42,2,strict,2,1,761,0.01953850199970475,0.33252811431884766,119,717,0.024223693999829266,0.6430234909057617,136,665,0.01749179299986281,0.5811538696289062,91
60,42,2,strict,2,2,761,0.018874456000048667,0.22693347930908203,134,742,0.015804063999894424,0.5802764892578125,52,623,0.017285921000166127,0.5435333251953125,30
60,42,2,strict,2,3,809,0.024353960000098596,0.31995677947998047,115,784,0.0180791269999645,0.57489013671875,41,651,0.016337730000032025,0.546722412109375,23
60,42,2,strict,2,4,851,0.025723862000177178,0.3371868133544922,126,837,0.021424833000310173,0.633793830871582,121,743,0.01747437699987131,0.5691299438476562,42
60,42,2,strict,2,5,810,0.022957376000249496,0.32569122314453125,126,772,0.01709112299977278,0.572845458984375,52,650,0.014549649999935355,0.5430755615234375,17
60,42,2,strict,2,6,647,0.02043295599969497,0.2557220458984375,126,609,0.01980615399997987,0.5845565795898438,55,561,0.014904676000242034,0.5597152709960938,45
60,42,2,strict,2,7,860,0.02189459099963642,0.2983131408691406,126,838,0.015692064999711874,0.5957870483398438,54,760,0.014113455999904545,0.5569992065429688,36
60,42,2,strict,2,8,807,0.021639353999944433,0.24543190002441406,127,789,0.0221859659995971,0.5845413208007812,65,691,0.01551526000002923,0.5436325073242188,21
60,42,2,strict,2,9,826,0.02106280699990748,0.29741573333740234,124,792,0.021455899000102363,0.5710067749023438,62,701,0.014801347999764403,0.5437088012695312,24
60,42,2,strict,2,10,806,0.02238795499988555,0.3291139602661133,119,788,0.018271118000029674,0.6335592269897461,125,695,0.019106618000023445,0.5707035064697266,82
70,49,2,strict,2,1,1147,0.021543366999594582,0.29114532470703125,132,1097,0.019862265000028856,0.7584457397460938,60,998,0.016296719000365556,0.6914749145507812,22
70,49,2,strict,2,2,939,0.030544209999789018,0.36559295654296875,132,909,0.021761072000117565,0.7666473388671875,66,828,0.017593443999885494,0.7102737426757812,32
70,49,2,strict,2,3,1168,0.03563171199994031,0.29937171936035156,141,1147,0.031767043999934685,0.7638015747070312,57,987,0.018836690000171075,0.6989669799804688,43
70,49,2,strict,2,4,1022,0.0242892149999534,0.3578042984008789,123,988,0.0208625589998519,0.780487060546875,67,888,0.01612461299964707,0.7109527587890625,24
70,49,2,strict,2,5,1086,0.028135253000073135,0.4192008972167969,121,1034,0.03425282799980778,0.771240234375,119,946,0.016651956000259815,0.7152786254882812,45
70,49,2,strict,2,6,1192,0.024250720999589248,0.3045997619628906,128,1171,0.02481821899982606,0.77813720703125,92,1065,0.019402244000048086,0.7178497314453125,31
70,49,2,strict,2,7,1002,0.027383643000121083,0.2726593017578125,145,957,0.025798461000249517,0.7599716186523438,57,843,0.024508391999916057,0.72369384765625,61
70,49,2,strict,2,8,1057,0.027468669999962003,0.33213138580322266,131,1035,0.0222683289998713,0.769622802734375,86,935,0.020348687000023347,0.720184326171875,39
70,49,2,strict,2,9,1142,0.019906715999695734,0.3094940185546875,128,1112,0.02648623899995073,0.766326904296875,75,1012,0.01682219200029067,0.7004165649414062,23
70,49,2,strict,2,10,1109,0.0273983170000065,0.34092044830322266,120,1066,0.024440219999632973,0.7667083740234375,70,887,0.024955352999768365,0.7187118530273438,61
80,56,2,strict,2,1,1474,0.027973745000053896,0.37149715423583984,143,1446,0.0263317389999429,0.9554824829101562,76,1343,0.02152620900005786,0.8879928588867188,43
80,56,2,strict,2,2,1444,0.028436401999897498,0.3161649703979492,140,1418,0.03570536600000196,0.9412918090820312,60,1198,0.033044671999959974,0.8976211547851562,84
80,56,2,strict,2,3,1620,0.0353124379998917,0.3652191162109375,138,1599,0.028380561000176385,0.9950084686279297,143,1383,0.0225437030003377,0.898284912109375,30
80,56,2,strict,2,4,1451,0.028713942000194947,0.42463111877441406,129,1390,0.031548037999982625,0.95880126953125,91,1268,0.026095010000062757,0.8825759887695312,39
80,56,2,strict,2,5,1457,0.030020933999821864,0.42215442657470703,132,1419,0.03234732200007784,1.008164405822754,131,1284,0.022820957000021735,0.9005279541015625,41
80,56,2,strict,2,6,1323,0.03265376599983938,0.4056539535522461,141,1286,0.03377512899987778,0.9824962615966797,137,1153,0.027063466000072367,0.9400930404663086,110
80,56,2,strict,2,7,1526,0.02862288799997259,0.3148937225341797,143,1481,0.030384239999875717,0.9416732788085938,69,1374,0.025452975000007427,0.8751754760742188,34
80,56,2,strict,2,8,1514,0.030301665000024514,0.4436454772949219,125,1494,0.02623039800027982,0.9536209106445312,82,1325,0.022584415999972407,0.8941726684570312,35
80,56,2,strict,2,9,1529,0.02789822499971706,0.43564605712890625,124,1480,0.025109208999765542,0.9493255615234375,73,1331,0.022478884999600268,0.880340576171875,42
80,56,2,strict,2,10,1474,0.025010082999870065,0.4318275451660156,128,1445,0.034898813999916456,1.0125017166137695,142,1320,0.027220472999943013,0.9821672439575195,121
90,62,2,strict,2,1,1829,0.037546565999946324,0.47609996795654297,135,1798,0.0375053099996876,1.2241859436035156,138,1624,0.03251252400013982,1.1322708129882812,94
90,62,2,strict,2,2,1881,0.04124992199967892,0.5052804946899414,141,1849,0.04002677100015717,1.2037734985351562,150,1697,0.030755479999697855,1.1541290283203125,52
90,62,2,strict,2,3,2031,0.033711097999912454,0.5152921676635742,132,2002,0.033415327000057005,1.2028350830078125,120,1797,0.028262166999866167,1.1403884887695312,54
90,62,2,strict,2,4,1673,0.036280012000133866,0.43361568450927734,153,1614,0.035117982999963715,1.2275934219360352,140,1457,0.031031454999720154,1.1469955444335938,81
90,62,2,strict,2,5,1813,0.028025895000155288,0.4052762985229492,142,1772,0.035382862000005844,1.1832733154296875,156,1608,0.027798833999895578,1.1253280639648438,68
90,62,2,strict,2,6,1544,0.03993584299996655,0.3963031768798828,135,1496,0.03364385100030631,1.1846237182617188,144,1324,0.02889691300015329,1.1258926391601562,44
90,62,2,strict,2,7,1608,0.04514270999970904,0.3715677261352539,127,1575,0.037130125999738084,1.1953191757202148,139,1434,0.032442877999983466,1.1478300094604492,107
90,62,2,strict,2,8,1764,0.03482676000021456,0.45412254333496094,133,1725,0.02837472200008051,1.1918716430664062,72,1589,0.025020673999733845,1.1338348388671875,30
90,62,2,strict,2,9,1720,0.05643049999980576,0.3987083435058594,135,1673,0.04375970899991444,1.1715850830078125,100,1532,0.027487111000027653,1.1221542358398438,48
90,62,2,strict,2,10,1666,0.046009454000341066,0.38325023651123047,146,1623,0.03558139699998719,1.1626510620117188,116,1439,0.031168029999662394,1.1071395874023438,48
100,70,2,strict,2,1,2274,0.036948781999853963,0.5279331207275391,129,2225,0.037344001999827015,1.4602432250976562,139,2044,0.033116087000053085,1.4108505249023438,48
100,70,2,strict,2,2,2125,0.03841472500016607,0.49924373626708984,151,2085,0.04595889299980627,1.4905881881713867,142,1850,0.03760116900002686,1.4330062866210938,61
100,70,2,strict,2,3,2226,0.04100717699975576,0.5744218826293945,132,2172,0.04112689300018246,1.4719562530517578,145,1919,0.03615453799966417,1.42755126953125,63
100,70,2,strict,2,4,2350,0.046538302000044496,0.4830055236816406,146,2316,0.04478540999980396,1.4813156127929688,163,2058,0.03276936800011754,1.4117202758789062,64
100,70,2,strict,2,5,2154,0.03999621999992087,0.48430633544921875,142,2116,0.047927370999786945,1.4878616333007812,156,1899,0.03516533799984245,1.4384307861328125,65
100,70,2,strict,2,6,2292,0.03840062900007979,0.4500112533569336,150,2238,0.041009051999935764,1.483978271484375,83,2130,0.03325887200026045,1.4277801513671875,49
100,70,2,strict,2,7,2525,0.040330859000277997,0.47844696044921875,145,2502,0.04400799199993344,1.564061164855957,138,2318,0.03560842799970487,1.4961347579956055,119
100,70,2,strict,2,8,2127,0.04364326199993229,0.5151252746582031,139,2080,0.04706980699984342,1.4999618530273438,139,1864,0.03621137700019972,1.4331817626953125,46
100,70,2,strict,2,9,2374,0.054984642999897915,0.49551868438720703,142,2313,0.04502623300004416,1.4771041870117188,166,2092,0.034678914999858534,1.4263763427734375,73
100,70,2,strict,2,10,2386,0.048377689000062674,0.5109424591064453,141,2336,0.042393105999963154,1.4718742370605469,137,2078,0.04015593900021486,1.428619384765625,70
