n_e,n_c,capacity,capacity_type,max_rank_size,iteration_number,weak_ttc_total_rank_improvement,weak_ttc_execution_time,weak_ttc_peak_memory_mb,weak_ttc_cycle_count,react_ttc_total_rank_improvement,react_ttc_execution_time,react_ttc_peak_memory_mb,react_ttc_cycle_count,ttc_total_rank_improvement,ttc_execution_time,ttc_peak_memory_mb,ttc_cycle_count
50,50,1,strict,2,1,608,0.011389183999654051,0.1738300323486328,20,607,0.010114951000105066,0.5264663696289062,11,607,0.00885920900009296,0.5263137817382812,11
50,50,1,strict,2,2,708,0.009386914000060642,0.1501617431640625,43,631,0.012946628999998211,0.527923583984375,9,631,0.0113912890001302,0.5278854370117188,9
50,50,1,strict,2,3,784,0.008087593999789533,0.12944793701171875,14,744,0.011980450999999448,0.5199661254882812,8,744,0.010834828000042762,0.519927978515625,8
50,50,1,strict,2,4,725,0.009177004999855853,0.14067840576171875,20,655,0.014055841999834229,0.520416259765625,12,655,0.012459065000257397,0.5203781127929688,12
50,50,1,strict,2,5,799,0.011176162000083423,0.14597320556640625,33,730,0.012363076999918121,0.5214920043945312,11,730,0.011516514000049938,0.521453857421875,11
50,50,1,strict,2,6,702,0.00929070900019724,0.142730712890625,30,645,0.011409608000121807,0.5253982543945312,8,645,0.010588482000002841,0.5241851806640625,8
50,50,1,strict,2,7,675,0.01167655300014303,0.1465301513671875,54,598,0.014504239999951096,0.5204620361328125,10,598,0.01321553399975528,0.5204238891601562,10
50,50,1,strict,2,8,719,0.009472886000366998,0.12712860107421875,14,637,0.01496805700026016,0.5185775756835938,9,637,0.012557022999772016,0.5185394287109375,9
50,50,1,strict,2,9,690,0.009206955000081507,0.13478851318359375,23,609,0.013468994000049861,0.5190353393554688,9,609,0.012098054000034608,0.5192108154296875,9
50,50,1,strict,2,10,635,0.01073350600017875,0.140380859375,27,542,0.014776518999951804,0.5257568359375,10,542,0.013163035999696149,0.5257186889648438,10
50,50,2,strict,2,1,834,0.031228969000039797,0.2516813278198242,126,810,0.016255706999800168,0.57318115234375,64,667,0.014134827000361838,0.51617431640625,12
50,50,2,strict,2,2,670,0.019973052999830543,0.23223876953125,129,653,0.014492977999907453,0.5731582641601562,51,516,0.012355639999896084,0.5177154541015625,16
50,50,2,strict,2,3,725,0.029411324000193417,0.22040557861328125,73,698,0.012899918000130128,0.574554443359375,55,596,0.01452065900002708,0.5374984741210938,13
50,50,2,strict,2,4,760,0.02530882200017004,0.26667118072509766,133,748,0.016552343999592267,0.5861740112304688,52,624,0.012775711999893247,0.5274429321289062,13
50,50,2,strict,2,5,874,0.02507506900019507,0.223724365234375,74,854,0.01764653400005045,0.5815582275390625,61,744,0.013663942000221141,0.5347442626953125,17
50,50,2,strict,2,6,769,0.022967542000060348,0.2223358154296875,105,760,0.016142385999955877,0.5805282592773438,57,628,0.014334955999856902,0.5208511352539062,16
50,50,2,strict,2,7,800,0.025449312000091595,0.26453590393066406,124,783,0.017016758999943704,0.5680770874023438,55,655,0.013943503000064084,0.5205001831054688,17
50,50,2,strict,2,8,685,0.027017708999665047,0.26798152923583984,126,672,0.017363583000133076,0.5719985961914062,51,569,0.010387182000158646,0.534912109375,10
50,50,2,strict,2,9,874,0.019175320000158536,0.22341156005859375,75,862,0.01750952399970629,0.5853729248046875,58,749,0.012301455999931932,0.5175552368164062,14
50,50,2,strict,2,10,825,0.026281199000095512,0.221710205078125,70,807,0.01907500799961781,0.5787734985351562,62,691,0.013851561000137735,0.5255279541015625,14
50,50,5,strict,2,1,823,0.3531503280000834,0.47969818115234375,197,823,0.1749075000002449,0.7511062622070312,109,633,0.015427255999838962,0.5248260498046875,14
50,50,5,strict,2,2,836,0.2888883119999264,0.49726104736328125,236,836,0.15339465700026267,0.7334060668945312,104,649,0.01317611600006785,0.5177841186523438,21
50,50,5,strict,2,3,826,0.3730615859999489,0.49782562255859375,168,826,0.19650157200021567,0.8161849975585938,125,661,0.014276590999998007,0.52423095703125,27
50,50,5,strict,2,4,676,0.2427570680001736,0.46321868896484375,166,676,0.12179590400000961,0.7219314575195312,135,563,0.010978483999679156,0.5160293579101562,15
50,50,5,strict,2,5,782,0.3549674240002787,0.48883056640625,200,782,0.20204689599995618,0.8248291015625,137,636,0.015583847000016249,0.5194320678710938,20
50,50,5,strict,2,6,983,0.37082969800030696,0.5086593627929688,215,983,0.20920031400009975,0.8462677001953125,135,849,0.013505420999990747,0.531707763671875,21
50,50,5,strict,2,7,754,0.3173211469998023,0.49298858642578125,142,754,0.20991724400028033,0.8290634155273438,127,618,0.014365908999934618,0.5209426879882812,14
50,50,5,strict,2,8,795,0.23366984199992658,0.47313690185546875,179,795,0.21631497299995317,0.836151123046875,153,615,0.013208519999807322,0.5140380859375,15
50,50,5,strict,2,9,826,0.3236139370001183,0.48635101318359375,159,826,0.1884955059999811,0.7649154663085938,119,653,0.0136069770001086,0.5145111083984375,17
50,50,5,strict,2,10,702,0.3553110050002033,0.49240875244140625,170,701,0.20082602299999053,0.7577133178710938,113,538,0.015487093999581703,0.5195541381835938,26
