n_e,n_c,capacity,capacity_type,max_rank_size,iteration_number,weak_ttc_total_rank_improvement,weak_ttc_execution_time,weak_ttc_peak_memory_mb,weak_ttc_cycle_count,react_ttc_total_rank_improvement,react_ttc_execution_time,react_ttc_peak_memory_mb,react_ttc_cycle_count,ttc_total_rank_improvement,ttc_execution_time,ttc_peak_memory_mb,ttc_cycle_count
50,50,2,strict,2,1,834,0.03351224000016373,0.2893180847167969,126,810,0.015999337999801355,0.573028564453125,64,667,0.013919905999955517,0.5161895751953125,12
50,50,2,strict,2,2,670,0.019209075000162557,0.23211669921875,129,653,0.014235957999972015,0.5730056762695312,51,516,0.01241715900005147,0.5177383422851562,16
50,50,2,strict,2,3,725,0.028994753000006313,0.22025299072265625,73,698,0.012141440000050352,0.57440185546875,55,596,0.012730581000141683,0.5382537841796875,13
50,50,2,strict,2,4,760,0.025860252999791555,0.2665109634399414,133,748,0.016216089999943506,0.5860214233398438,52,624,0.011873910000304022,0.5274581909179688,13
50,50,2,strict,2,5,874,0.02577836299997216,0.22357177734375,74,854,0.017832472999998572,0.5814056396484375,61,744,0.01817154499985918,0.5405349731445312,17
50,50,2,strict,2,6,769,0.023324570000113454,0.22229766845703125,105,760,0.01655163499981427,0.5803756713867188,57,628,0.014443956999912189,0.5201339721679688,16
50,50,2,strict,2,7,800,0.02636201599989363,0.2646808624267578,124,783,0.01732299500008594,0.5679244995117188,55,655,0.013896629000100802,0.5205230712890625,17
50,50,2,strict,2,8,685,0.026132230999792228,0.2558736801147461,126,672,0.016729493999719125,0.5718460083007812,51,569,0.010652149000179634,0.5349273681640625,10
50,50,2,strict,2,9,874,0.01924428699976488,0.22325897216796875,75,862,0.0172485099997175,0.5852203369140625,58,749,0.011937360000047192,0.5175704956054688,14
50,50,2,strict,2,10,825,0.02503670999976748,0.2216796875,70,807,0.018821008000031725,0.5786209106445312,62,691,0.01390487300022869,0.525543212890625,14
50,50,2,strict,5,1,423,0.051231654999810416,0.40203380584716797,112,390,0.015690697000081855,0.3702392578125,53,266,0.010234143000161566,0.32573699951171875,10
50,50,2,strict,5,2,392,0.04522395799995138,0.3760652542114258,119,348,0.0132835200001864,0.3695831298828125,47,213,0.011364785000296251,0.33184814453125,9
50,50,2,strict,5,3,354,0.04255516600005649,0.36368370056152344,109,313,0.014417282000067644,0.36212921142578125,49,179,0.012570174000302359,0.32057952880859375,10
50,50,2,strict,5,4,407,0.04180232099997738,0.42183780670166016,111,379,0.0125118430000839,0.3658599853515625,43,260,0.010945032000108768,0.33642578125,9
50,50,2,strict,5,5,450,0.029164171000047645,0.3574504852294922,127,411,0.015421332000187249,0.3705596923828125,56,221,0.01229540599979373,0.31813812255859375,11
50,50,2,strict,5,6,400,0.037863337000089814,0.34909820556640625,115,381,0.01287671699992643,0.37581634521484375,45,151,0.013790728999993007,0.3282928466796875,8
50,50,2,strict,5,7,402,0.03862554799979989,0.3386983871459961,131,389,0.01670690699984334,0.3774261474609375,48,229,0.010714668999753485,0.32025146484375,11
50,50,2,strict,5,8,322,0.03341100500028915,0.33232975006103516,115,298,0.013936108000052627,0.36751556396484375,41,165,0.01038746699987314,0.32695770263671875,20
50,50,2,strict,5,9,424,0.030276678999598516,0.37111949920654297,122,387,0.015030905000003258,0.36632537841796875,53,231,0.010841417999927216,0.33032989501953125,7
50,50,2,strict,5,10,448,0.04614519000006112,0.38866424560546875,114,415,0.022147913000026165,0.36905670166015625,53,285,0.010031754000010551,0.32456207275390625,12
50,50,2,strict,10,1,238,0.04765518800013524,0.46379661560058594,111,179,0.011549234000085562,0.264434814453125,35,88,0.010212156999841682,0.22602081298828125,11
50,50,2,strict,10,2,214,0.04429531899995709,0.42758750915527344,100,176,0.013046504000158166,0.26959991455078125,42,44,0.00811114499992982,0.222869873046875,4
50,50,2,strict,10,3,219,0.0701525239996954,0.4242057800292969,111,172,0.01303980100010449,0.2726898193359375,39,72,0.007694209999954182,0.22287750244140625,7
50,50,2,strict,10,4,187,0.04397060900009819,0.4060325622558594,109,154,0.009095401000195125,0.25960540771484375,34,71,0.008748200999889377,0.21816253662109375,5
50,50,2,strict,10,5,216,0.052455623999776435,0.4123077392578125,111,164,0.013907024999753048,0.2717437744140625,43,57,0.007802131000062218,0.2413330078125,5
50,50,2,strict,10,6,197,0.04612350299976242,0.45386409759521484,109,155,0.013456736000080127,0.2784576416015625,54,73,0.00975395000023127,0.2379608154296875,11
50,50,2,strict,10,7,188,0.04380742099965573,0.41559696197509766,119,147,0.012316587999976036,0.27674102783203125,42,34,0.008275037000203156,0.2190093994140625,3
50,50,2,strict,10,8,197,0.052426677999847016,0.3718900680541992,102,159,0.011898890999873402,0.2705535888671875,38,43,0.008080978999714716,0.22177886962890625,4
50,50,2,strict,10,9,212,0.0426257680001072,0.4516944885253906,106,168,0.0222844940003597,0.2841644287109375,35,56,0.009274546999677113,0.235076904296875,7
50,50,2,strict,10,10,176,0.04034159799994086,0.39009571075439453,105,115,0.012421627000094304,0.2530975341796875,43,55,0.008035317000121722,0.2243499755859375,7
