n_e,n_c,resource_ratio,capacity,capacity_type,max_rank_size,iteration_number,weak_ttc_total_rank_improvement,weak_ttc_execution_time,weak_ttc_peak_memory_mb,weak_ttc_cycle_count,react_ttc_total_rank_improvement,react_ttc_execution_time,react_ttc_peak_memory_mb,react_ttc_cycle_count,ttc_total_rank_improvement,ttc_execution_time,ttc_peak_memory_mb,ttc_cycle_count
100,50,0.5,2,strict,2,1,1621,0.025966650000100344,0.5668601989746094,117,1464,0.03310924800007342,1.135218620300293,121,1464,0.030726065000180824,1.1345090866088867,121
100,50,0.5,2,strict,2,2,1590,0.02395385099998748,0.4399280548095703,133,1456,0.03110259400000359,1.1836929321289062,124,1456,0.029127698999673157,1.18292236328125,124
100,50,0.5,2,strict,2,3,1611,0.031587794000188296,0.5613088607788086,113,1552,0.03078791000007186,1.1803417205810547,121,1552,0.02925054800016369,1.1799373626708984,121
100,50,0.5,2,strict,2,4,1427,0.024929777000124886,0.4815397262573242,116,1317,0.034315378999963286,1.1786584854125977,123,1317,0.03188092200025494,1.1782541275024414,123
100,50,0.5,2,strict,2,5,1693,0.02392433600016375,0.4612913131713867,116,1522,0.03497517699997843,1.2071237564086914,114,1522,0.03154817599988746,1.2074518203735352,114
100,50,0.5,2,strict,2,6,1465,0.02651804400011315,0.4823122024536133,130,1410,0.03426549900041209,1.2282609939575195,118,1410,0.031969086000117386,1.2285890579223633,118
100,50,0.5,2,strict,2,7,1465,0.027008875999854354,0.5199775695800781,111,1394,0.03394078000019363,1.2293529510498047,116,1394,0.0319263830001546,1.2296810150146484,116
100,50,0.5,2,strict,2,8,1560,0.02632525400031227,0.4515829086303711,142,1491,0.029955908999909298,1.1740970611572266,114,1491,0.033093947999986995,1.1744251251220703,114
100,50,0.5,2,strict,2,9,1486,0.025910947999818745,0.4612455368041992,116,1434,0.03383560500014937,1.179570198059082,118,1434,0.03101120199971774,1.1798982620239258,118
100,50,0.5,2,strict,2,10,1342,0.024087145000066812,0.44002628326416016,110,1257,0.0323005209997973,1.15264892578125,122,1257,0.03067774700002701,1.1518783569335938,122
100,60,0.6,2,strict,2,1,1883,0.03517659499993897,0.5548734664916992,132,1856,0.04228761999956987,1.3780345916748047,142,1767,0.02970688200002769,1.3329582214355469,117
100,60,0.6,2,strict,2,2,1841,0.03099727399967378,0.49512195587158203,131,1800,0.035182265999992524,1.298964500427246,141,1702,0.03290284300010171,1.284428596496582,123
100,60,0.6,2,strict,2,3,1922,0.03173827999989953,0.5219612121582031,136,1869,0.03649791199995889,1.3755598068237305,146,1730,0.03105372099980741,1.3425025939941406,114
100,60,0.6,2,strict,2,4,1758,0.03369188300030146,0.5662117004394531,136,1702,0.04091402200037919,1.2628889083862305,162,1583,0.027324927000336174,1.2486209869384766,119
100,60,0.6,2,strict,2,5,1976,0.035832445999858464,0.5958108901977539,131,1937,0.03868686700025137,1.3676633834838867,139,1773,0.03328170099985073,1.3100948333740234,119
100,60,0.6,2,strict,2,6,1754,0.02977101299984497,0.4866361618041992,132,1708,0.0366216219999842,1.2838478088378906,145,1525,0.028772301000117295,1.2765378952026367,124
100,60,0.6,2,strict,2,7,2023,0.037356776999786234,0.4494161605834961,155,1974,0.03538496200008012,1.2477035522460938,83,1829,0.029596212999877025,1.2160568237304688,46
100,60,0.6,2,strict,2,8,2148,0.036655851999967126,0.41184520721435547,140,2099,0.03575204400021903,1.2983512878417969,156,1950,0.03467180500001632,1.2584867477416992,129
100,60,0.6,2,strict,2,9,1834,0.036007154999879276,0.4922952651977539,139,1786,0.044652094000412035,1.3148908615112305,137,1683,0.03491161200008719,1.301523208618164,117
100,60,0.6,2,strict,2,10,1829,0.038420975000008184,0.4414205551147461,145,1769,0.036820074999923236,1.250422477722168,144,1692,0.031181758000002446,1.2306337356567383,154
100,70,0.7,2,strict,2,1,2050,0.043304330999944796,0.48628902435302734,155,1996,0.04608047900001111,1.4816131591796875,108,1760,0.03342110599987791,1.430755615234375,53
100,70,0.7,2,strict,2,2,2212,0.04362780699966606,0.4611349105834961,141,2150,0.05002109700035362,1.5668668746948242,153,1932,0.03639639499988334,1.5202293395996094,116
100,70,0.7,2,strict,2,3,2392,0.04540954200001579,0.4734001159667969,142,2330,0.05708499100001063,1.48577880859375,143,2163,0.03374398100004328,1.4203109741210938,66
100,70,0.7,2,strict,2,4,2150,0.04017290700039666,0.46333980560302734,149,2133,0.05924008500005584,1.49761962890625,139,1896,0.03530049200026042,1.4250030517578125,58
100,70,0.7,2,strict,2,5,2188,0.044705712999984826,0.528717041015625,126,2139,0.042471459999887884,1.5434303283691406,148,1931,0.03812978399992062,1.504873275756836,115
100,70,0.7,2,strict,2,6,2310,0.043985935999899084,0.5420045852661133,148,2267,0.041312015000130486,1.4984769821166992,155,2104,0.03269523900007698,1.4345855712890625,69
100,70,0.7,2,strict,2,7,2337,0.04868041400004586,0.5406465530395508,135,2303,0.05606679199991049,1.494415283203125,145,2112,0.03986548300008508,1.456460952758789,127
100,70,0.7,2,strict,2,8,2011,0.04677637299982962,0.5114450454711914,136,1951,0.042464751999887085,1.5553417205810547,156,1783,0.038078341000073124,1.5375661849975586,121
100,70,0.7,2,strict,2,9,2017,0.04011292599989247,0.5080327987670898,139,1963,0.05468814900041252,1.4677734375,102,1832,0.02953726599980655,1.408782958984375,73
100,70,0.7,2,strict,2,10,2095,0.048562234999735665,0.4371147155761719,154,2047,0.04270460599991566,1.468658447265625,80,1843,0.028739250999933574,1.4108123779296875,52
100,80,0.8,2,strict,2,1,2739,0.04758914200010622,0.4379844665527344,148,2717,0.04726762800009965,1.6388092041015625,107,2299,0.04145662299970354,1.5562286376953125,25
100,80,0.8,2,strict,2,2,2684,0.049361991999830934,0.5512189865112305,143,2643,0.04408263999994233,1.6278762817382812,152,2404,0.038220041999920795,1.5681076049804688,69
100,80,0.8,2,strict,2,3,2607,0.05344343499973547,0.4585294723510742,160,2565,0.04548066799998196,1.6340713500976562,99,2310,0.035779813999852195,1.5579147338867188,44
100,80,0.8,2,strict,2,4,2558,0.06919720499990945,0.5041770935058594,148,2522,0.05132635600011781,1.6283950805664062,100,2310,0.03406444599977476,1.5618133544921875,42
100,80,0.8,2,strict,2,5,2620,0.06428801299989573,0.5376691818237305,156,2580,0.048176206999869464,1.632904052734375,96,2344,0.03664665399992373,1.5533218383789062,36
100,80,0.8,2,strict,2,6,2598,0.060982212999988405,0.47294044494628906,138,2567,0.042396686999836675,1.6304702758789062,89,2390,0.028538218999983656,1.5609359741210938,30
100,80,0.8,2,strict,2,7,2742,0.06134508300010566,0.5309715270996094,148,2702,0.03965197300021828,1.6315078735351562,95,2338,0.0432598610000241,1.587249755859375,83
100,80,0.8,2,strict,2,8,3162,0.057604740999977366,0.44882678985595703,140,3095,0.040382705999945756,1.6460113525390625,105,2698,0.049471268999695894,1.5639572143554688,50
100,80,0.8,2,strict,2,9,2609,0.04559691999975257,0.49458980560302734,150,2558,0.04455844400035858,1.6487350463867188,141,2311,0.03438429099969653,1.563018798828125,35
100,80,0.8,2,strict,2,10,2337,0.0583766640002068,0.42851734161376953,156,2288,0.0488996680001037,1.6404190063476562,105,1956,0.04067978900002345,1.5587921142578125,41
100,90,0.9,2,strict,2,1,2676,0.08101088600005824,0.3998870849609375,157,2631,0.045875427999817475,1.7936782836914062,98,2380,0.033821194999745785,1.7240524291992188,42
100,90,0.9,2,strict,2,2,2734,0.06915119799987224,0.4567289352416992,138,2699,0.04858912600002441,1.808837890625,143,2449,0.03544223900007637,1.6982345581054688,39
100,90,0.9,2,strict,2,3,2873,0.06900263299985454,0.40601634979248047,151,2820,0.04898381499970128,1.7874603271484375,107,2382,0.038370622000002186,1.7009735107421875,27
100,90,0.9,2,strict,2,4,2895,0.06494829299981575,0.4739856719970703,149,2858,0.05400729299981322,1.8075485229492188,161,2489,0.03679503100011061,1.7116165161132812,37
100,90,0.9,2,strict,2,5,3271,0.061756089000027714,0.4756660461425781,143,3243,0.051458640999953786,1.7905349731445312,92,2916,0.04455108199999813,1.7283859252929688,58
100,90,0.9,2,strict,2,6,2853,0.07297379600004206,0.43535518646240234,155,2812,0.04732530199999019,1.797576904296875,102,2411,0.04863495600011447,1.7168502807617188,37
100,90,0.9,2,strict,2,7,3193,0.08262021600012304,0.37528228759765625,154,3162,0.06153354199977912,1.79132080078125,106,2851,0.04973914800029888,1.7601747512817383,118
100,90,0.9,2,strict,2,8,2712,0.04965118700010862,0.4445161819458008,145,2678,0.049682760999985476,1.7811203002929688,93,2281,0.05049874999986059,1.70770263671875,30
100,90,0.9,2,strict,2,9,2913,0.07709148899994034,0.5028238296508789,167,2886,0.03908592599964322,1.8049850463867188,102,2635,0.03641169600041394,1.70269775390625,25
100,90,0.9,2,strict,2,10,2841,0.058569991999775084,0.5071296691894531,150,2801,0.05855625100002726,1.7924346923828125,129,2490,0.03466850399991017,1.7098770141601562,40
100,100,1.0,2,strict,2,1,3323,0.07812034299968218,0.4902944564819336,175,3296,0.06713301199988564,1.9499359130859375,156,2990,0.04309646299998349,1.843231201171875,36
100,100,1.0,2,strict,2,2,2750,0.06539177400009066,0.47855663299560547,154,2713,0.04011161199969138,1.964996337890625,107,2363,0.04137340300030701,1.8533859252929688,32
100,100,1.0,2,strict,2,3,3008,0.07921150399988619,0.48256874084472656,157,2968,0.055410667000160174,1.9691085815429688,119,2580,0.047653325000283075,1.8509445190429688,28
100,100,1.0,2,strict,2,4,3153,0.07019468299995424,0.44852447509765625,158,3096,0.04566334899982394,1.9388351440429688,115,2828,0.044914585999777046,1.8434295654296875,27
100,100,1.0,2,strict,2,5,2928,0.07211816500011992,0.5061302185058594,149,2874,0.05192708399999901,1.932708740234375,116,2436,0.04326808600035292,1.8357925415039062,27
100,100,1.0,2,strict,2,6,3453,0.07188962999998694,0.4477996826171875,182,3427,0.05294239600016226,2.0102920532226562,115,2975,0.04150768899989998,1.83935546875,25
100,100,1.0,2,strict,2,7,3600,0.08533158299997012,0.4791259765625,164,3568,0.0663465850002467,1.9674835205078125,104,3229,0.04654285300011907,1.8459930419921875,50
100,100,1.0,2,strict,2,8,3353,0.07012215599979754,0.4764261245727539,144,3324,0.05512864999991507,1.9678802490234375,111,3021,0.03605129899960957,1.8416213989257812,29
100,100,1.0,2,strict,2,9,3229,0.07250982799996564,0.4406890869140625,160,3203,0.04545505799978855,1.964202880859375,108,2906,0.04033837999986645,1.846221923828125,26
100,100,1.0,2,strict,2,10,3199,0.09586631599995599,0.478363037109375,160,3171,0.045413074000407505,1.9564590454101562,122,2786,0.04578793999962727,1.8327178955078125,26
